Note(start=18.013021, end=21.257812, pitch=62, velocity=110)
Note(start=54.013021, end=57.257812, pitch=59, velocity=110)
Note(start=57.263021, end=57.929688, pitch=61, velocity=110)
Note(start=57.263021, end=57.929688, pitch=54, velocity=110)
Note(start=57.263021, end=57.929688, pitch=57, velocity=110)
Note(start=58.013021, end=61.257812, pitch=59, velocity=110)
Note(start=58.013021, end=61.257812, pitch=62, velocity=110)
Note(start=58.013021, end=61.257812, pitch=55, velocity=110)
Note(start=61.263021, end=61.929688, pitch=57, velocity=110)
Note(start=61.263021, end=61.929688, pitch=54, velocity=110)
Note(start=61.263021, end=61.929688, pitch=61, velocity=110)
Note(start=200.013021, end=203.257812, pitch=55, velocity=110)
Note(start=200.013021, end=203.257812, pitch=62, velocity=110)
Note(start=200.013021, end=203.257812, pitch=59, velocity=110)
Note(start=203.263021, end=203.929688, pitch=61, velocity=110)
Note(start=203.263021, end=203.929688, pitch=54, velocity=110)
Note(start=203.263021, end=203.929688, pitch=57, velocity=110)
Note(start=204.013021, end=207.257812, pitch=62, velocity=110)
Note(start=204.013021, end=207.257812, pitch=55, velocity=110)
Note(start=204.013021, end=207.257812, pitch=59, velocity=110)
Note(start=207.263021, end=207.929688, pitch=61, velocity=110)
Note(start=207.263021, end=207.929688, pitch=54, velocity=110)
Note(start=207.263021, end=207.929688, pitch=57, velocity=110)
Note(start=208.013021, end=211.257812, pitch=55, velocity=110)
Note(start=208.013021, end=211.257812, pitch=62, velocity=110)
Note(start=208.013021, end=211.257812, pitch=59, velocity=110)
Note(start=211.263021, end=211.929688, pitch=61, velocity=110)
Note(start=211.263021, end=211.929688, pitch=54, velocity=110)
Note(start=211.263021, end=211.929688, pitch=57, velocity=110)
Note(start=212.013021, end=212.445312, pitch=57, velocity=110)
Note(start=212.013021, end=212.445312, pitch=64, velocity=110)
Note(start=212.013021, end=212.445312, pitch=61, velocity=110)
Note(start=212.013021, end=212.445312, pitch=54, velocity=110)
Note(start=212.513021, end=212.945312, pitch=57, velocity=110)
Note(start=212.513021, end=212.945312, pitch=64, velocity=110)
Note(start=212.513021, end=212.945312, pitch=61, velocity=110)
Note(start=212.513021, end=212.945312, pitch=54, velocity=110)
Note(start=213.013021, end=213.445312, pitch=57, velocity=110)
Note(start=213.013021, end=213.445312, pitch=61, velocity=110)
Note(start=213.013021, end=213.445312, pitch=64, velocity=110)
Note(start=213.013021, end=213.445312, pitch=54, velocity=110)
Note(start=213.513021, end=213.945312, pitch=57, velocity=110)
Note(start=213.513021, end=213.945312, pitch=64, velocity=110)
Note(start=213.513021, end=213.945312, pitch=61, velocity=110)
Note(start=213.513021, end=213.945312, pitch=54, velocity=110)
Note(start=214.013021, end=214.445312, pitch=61, velocity=110)
Note(start=214.013021, end=214.445312, pitch=54, velocity=110)
Note(start=214.013021, end=214.445312, pitch=64, velocity=110)
Note(start=214.013021, end=214.445312, pitch=57, velocity=110)
Note(start=214.513021, end=214.945312, pitch=64, velocity=110)
Note(start=214.513021, end=214.945312, pitch=57, velocity=110)
Note(start=214.513021, end=214.945312, pitch=61, velocity=110)
Note(start=214.513021, end=214.945312, pitch=54, velocity=110)
Note(start=215.013021, end=215.257812, pitch=57, velocity=110)
Note(start=215.013021, end=215.257812, pitch=54, velocity=110)
Note(start=215.013021, end=215.257812, pitch=61, velocity=110)
Note(start=215.013021, end=215.257812, pitch=64, velocity=110)
Note(start=215.263021, end=215.929688, pitch=61, velocity=110)
Note(start=215.263021, end=215.929688, pitch=52, velocity=110)
Note(start=215.263021, end=215.929688, pitch=57, velocity=110)
Note(start=215.263021, end=215.929688, pitch=54, velocity=110)
Note(start=216.013021, end=219.257812, pitch=55, velocity=110)
Note(start=216.013021, end=219.257812, pitch=62, velocity=110)
Note(start=216.013021, end=219.257812, pitch=59, velocity=110)
Note(start=219.263021, end=219.929688, pitch=61, velocity=110)
Note(start=219.263021, end=219.929688, pitch=54, velocity=110)
Note(start=219.263021, end=219.929688, pitch=57, velocity=110)
Note(start=220.013021, end=223.257812, pitch=59, velocity=110)
Note(start=220.013021, end=223.257812, pitch=55, velocity=110)
Note(start=220.013021, end=223.257812, pitch=62, velocity=110)
Note(start=223.263021, end=223.929688, pitch=61, velocity=110)
Note(start=223.263021, end=223.929688, pitch=54, velocity=110)
Note(start=223.263021, end=223.929688, pitch=57, velocity=110)
Note(start=224.013021, end=227.257812, pitch=55, velocity=110)
Note(start=224.013021, end=227.257812, pitch=62, velocity=110)
Note(start=224.013021, end=227.257812, pitch=59, velocity=110)
Note(start=227.263021, end=227.929688, pitch=61, velocity=110)
Note(start=227.263021, end=227.929688, pitch=57, velocity=110)
Note(start=227.263021, end=227.929688, pitch=54, velocity=110)
