Note(start=21.255208, end=21.257812, pitch=55, velocity=110)
Note(start=213.942708, end=213.945312, pitch=64, velocity=110)
Note(start=214.442708, end=214.445312, pitch=54, velocity=110)
Note(start=214.442708, end=214.445312, pitch=57, velocity=110)
Note(start=214.442708, end=214.445312, pitch=61, velocity=110)
Note(start=214.442708, end=214.445312, pitch=64, velocity=110)
Note(start=214.942708, end=214.945312, pitch=54, velocity=110)
Note(start=214.942708, end=214.945312, pitch=57, velocity=110)
Note(start=214.942708, end=214.945312, pitch=61, velocity=110)
Note(start=214.942708, end=214.945312, pitch=64, velocity=110)
Note(start=215.255208, end=215.257812, pitch=54, velocity=110)
Note(start=215.255208, end=215.257812, pitch=57, velocity=110)
Note(start=215.255208, end=215.257812, pitch=61, velocity=110)
Note(start=215.255208, end=215.257812, pitch=64, velocity=110)
Note(start=215.927083, end=215.929688, pitch=52, velocity=110)
Note(start=215.927083, end=215.929688, pitch=54, velocity=110)
Note(start=215.927083, end=215.929688, pitch=57, velocity=110)
Note(start=215.927083, end=215.929688, pitch=61, velocity=110)
Note(start=219.255208, end=219.257812, pitch=55, velocity=110)
Note(start=219.255208, end=219.257812, pitch=59, velocity=110)
Note(start=219.255208, end=219.257812, pitch=62, velocity=110)
Note(start=219.927083, end=219.929688, pitch=54, velocity=110)
Note(start=219.927083, end=219.929688, pitch=57, velocity=110)
Note(start=219.927083, end=219.929688, pitch=61, velocity=110)
Note(start=223.255208, end=223.257812, pitch=55, velocity=110)
Note(start=223.255208, end=223.257812, pitch=59, velocity=110)
Note(start=223.255208, end=223.257812, pitch=62, velocity=110)
Note(start=223.927083, end=223.929688, pitch=54, velocity=110)
Note(start=223.927083, end=223.929688, pitch=57, velocity=110)
Note(start=223.927083, end=223.929688, pitch=61, velocity=110)
Note(start=227.255208, end=227.257812, pitch=55, velocity=110)
Note(start=227.255208, end=227.257812, pitch=59, velocity=110)
Note(start=227.255208, end=227.257812, pitch=62, velocity=110)
Note(start=227.927083, end=227.929688, pitch=54, velocity=110)
Note(start=227.927083, end=227.929688, pitch=57, velocity=110)
Note(start=227.927083, end=227.929688, pitch=61, velocity=110)
